Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Children_at_home,Living_With,Family_Size
PhD,72550.0,39,6.717804695023691,3.9318256327243257,5.762051382780177,3.9318256327243257,3.6635616461296463,3.6635616461296463,9,5,2,12,8,0,0,0,0,0,0,0,72,4861,27.670630635511813,28,0,2,Partner,4
Graduate,65486.0,29,5.5053315359323625,2.995732273553991,4.836281906951478,3.6375861597263857,4.219507705176107,2.70805020110221,1,4,2,10,2,0,0,0,0,0,0,0,69,4311,23.902489782442533,17,0,1,Alone,2
Postgraduate,79143.0,2,6.478509642208569,3.6375861597263857,6.660575149839686,3.332204510175204,5.123963979403259,3.4965075614664802,1,6,9,13,3,0,0,0,0,0,0,0,62,4950,28.72934700281958,29,0,0,Partner,2
Graduate,35790.0,54,2.5649493574615367,1.9459101490553132,3.044522437723423,3.4339872044851463,0.6931471805599453,1.3862943611198906,2,2,0,3,7,0,0,0,0,0,0,0,49,4806,13.068810690405256,7,0,1,Alone,2
Graduate,82582.0,54,6.236369590203704,4.795790545596741,6.311734809152915,5.056245805348308,3.713572066704308,5.488937726156687,1,4,9,7,1,1,0,0,1,0,0,1,49,4285,31.602650543162667,21,2,0,Alone,1
Graduate,66373.0,57,5.796057750765372,2.302585092994046,4.8283137373023015,2.5649493574615367,3.2188758248682006,4.700480365792417,7,4,2,10,3,0,0,0,0,0,0,0,48,4645,23.41126212918387,23,0,2,Partner,4
Postgraduate,82384.0,55,6.892641641172089,3.9512437185814275,6.07073772800249,5.198497031265826,4.795790545596741,5.25227342804663,1,3,10,13,1,0,0,1,0,0,0,1,71,4850,32.1611840926652,27,1,0,Partner,2
Graduate,70287.0,30,5.69035945432406,3.58351893845611,6.180016653652572,4.804021044733257,4.795790545596741,3.713572066704308,1,5,5,10,3,0,0,0,0,0,0,1,60,4716,28.76727870346705,21,0,0,Alone,1
Graduate,27938.0,31,2.6390573296152584,0.0,2.1972245773362196,1.0986122886681098,0.6931471805599453,1.791759469228055,1,1,0,4,3,0,0,0,0,0,0,0,38,4325,8.419800845407588,6,0,1,Alone,2
Graduate,51381.5,57,2.4849066497880004,1.3862943611198906,3.1354942159291497,1.0986122886681098,1.0986122886681098,1.9459101490553132,2,2,0,3,6,0,0,0,0,0,0,0,44,4640,11.149829953228572,7,0,1,Alone,2
PhD,55954.0,63,6.104793232414985,0.0,3.367295829986474,0.0,0.0,3.784189633918261,3,8,2,6,7,0,0,0,0,0,0,0,58,4381,13.25627869631972,19,0,1,Partner,3
Postgraduate,75777.0,12,6.569481420414296,3.295836866004329,6.289715570908998,4.248495242049359,2.6390573296152584,4.394449154672439,1,3,6,11,1,0,1,1,0,0,0,1,44,4623,27.43703558366468,21,2,0,Alone,1
Graduate,66653.0,18,6.115892125483034,2.9444389791664403,4.634728988229636,2.833213344056216,2.9444389791664403,1.9459101490553132,4,4,2,12,3,0,0,0,0,0,0,0,51,4923,21.418622565157076,22,0,2,Partner,4
Graduate,61823.0,26,6.261491684321042,2.0794415416798357,4.90527477843843,3.6375861597263857,2.70805020110221,5.135798437050262,4,8,2,10,7,0,0,0,0,0,0,0,74,4759,24.727642802318165,24,0,1,Alone,2
PhD,67680.0,8,6.304448802421981,0.0,3.8918202981106265,0.0,1.9459101490553132,1.9459101490553132,1,7,3,8,5,0,0,0,0,0,0,0,75,4646,14.088089398643234,19,0,1,Alone,2
Graduate,70666.0,29,5.988961416889864,3.713572066704308,5.908082938168931,4.787491742782046,4.812184355372417,3.4339872044851463,1,7,4,4,4,0,0,0,0,0,0,0,78,4468,28.64427972440271,16,0,0,Partner,2
Graduate,25721.0,75,0.6931471805599453,1.3862943611198906,1.9459101490553132,1.3862943611198906,1.9459101490553132,2.772588722239781,1,1,1,2,7,0,0,0,0,0,0,1,55,4667,10.130144923150134,5,0,1,Partner,3
Graduate,32474.0,0,2.3978952727983707,0.0,0.6931471805599453,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,59,4312,3.091042453358316,4,0,2,Partner,4
Undergraduate,88194.0,19,6.535241271013659,2.70805020110221,5.736572297479192,5.308267697401205,3.2188758248682006,3.6635616461296463,1,11,10,10,5,1,0,0,1,0,0,1,47,4365,27.170568937994112,32,2,1,Alone,2
Graduate,69096.0,4,5.5134287461649825,3.912023005428146,5.075173815233827,2.0794415416798357,4.418840607796598,4.700480365792417,1,5,2,10,4,0,0,0,0,0,0,0,68,4538,25.6993880820958,18,0,1,Partner,3
Graduate,74854.0,90,6.75343791859778,4.0943445622221,6.1903154058531475,4.07753744390572,3.4011973816621555,4.30406509320417,7,2,5,5,5,0,0,0,0,0,0,0,56,4710,28.82089780544507,19,0,3,Partner,5
Postgraduate,66991.0,1,6.208590026096629,3.6109179126442243,6.133398042996649,5.247024072160486,4.110873864173311,2.5649493574615367,3,4,8,6,3,0,0,0,0,0,0,0,72,4919,27.875753275532833,21,0,0,Partner,2
Undergraduate,51381.5,25,3.258096538021482,1.3862943611198906,3.784189633918261,2.8903717578961645,1.6094379124341003,2.8903717578961645,3,3,0,3,8,0,0,0,0,0,0,0,53,4916,15.818761961286064,9,0,1,Partner,3
Graduate,65031.0,29,5.556828061699537,4.68213122712422,5.676753802268282,4.442651256490317,3.6375861597263857,4.465908118654584,4,10,3,13,7,0,0,0,0,0,0,0,67,4732,28.461858625963323,30,0,1,Partner,3
PhD,60631.0,88,6.338594078203183,1.9459101490553132,4.189654742026425,0.0,1.9459101490553132,2.995732273553991,5,9,2,8,7,0,1,0,0,0,0,0,51,4713,17.415801391894227,24,1,2,Partner,4
Graduate,28332.0,58,2.70805020110221,2.3978952727983707,2.6390573296152584,1.6094379124341003,2.772588722239781,2.302585092994046,1,2,1,4,2,0,0,0,0,0,0,0,74,4323,14.429614531183766,8,0,0,Partner,2
Graduate,40246.0,68,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.6931471805599453,1,1,0,2,6,0,0,0,0,0,0,0,49,4820,6.222576268071369,4,0,1,Alone,2
Postgraduate,75251.0,34,6.582025138892826,4.718498871295094,6.8308742346461795,4.584967478670572,2.9444389791664403,2.9444389791664403,1,7,6,5,5,0,0,0,0,0,0,1,54,4934,28.605243681837557,19,0,0,Partner,2
Graduate,75825.0,40,6.940222469119639,4.663439094112067,6.659293919683638,4.927253685157205,4.663439094112067,3.9512437185814275,0,5,8,9,4,1,0,0,0,0,0,1,50,4888,31.804891980766044,22,1,0,Alone,1
Undergraduate,26326.0,12,0.6931471805599453,0.0,1.791759469228055,0.0,1.3862943611198906,2.302585092994046,1,0,0,3,3,0,0,0,0,0,1,0,50,4561,6.173786103901937,4,0,0,Partner,2
Graduate,56046.0,9,6.359573868672378,0.0,4.174387269895637,0.0,0.0,3.9512437185814275,2,10,1,8,8,1,0,0,0,0,0,1,61,4806,14.48520485714944,21,1,0,Partner,2
Graduate,29760.0,87,4.174387269895637,1.6094379124341003,4.23410650459726,2.0794415416798357,1.791759469228055,2.8903717578961645,4,3,1,4,8,0,0,0,0,0,0,0,41,4932,16.77950445573105,12,0,1,Alone,2
Graduate,26304.0,5,1.6094379124341003,0.6931471805599453,1.791759469228055,1.0986122886681098,0.0,1.6094379124341003,1,1,0,2,7,0,0,0,0,0,0,0,57,4634,6.802394763324311,4,0,1,Partner,3
Undergraduate,23559.0,87,3.258096538021482,1.791759469228055,2.995732273553991,2.0794415416798357,0.0,3.1780538303479458,3,3,0,3,7,0,0,0,0,0,0,0,53,4624,13.30308365283131,9,0,1,Partner,3
Postgraduate,38620.0,56,4.727387818712341,2.8903717578961645,3.8066624897703196,3.5553480614894135,3.1354942159291497,4.499809670330265,1,2,5,3,3,0,0,0,0,0,0,0,63,4677,22.61507401412765,11,0,0,Partner,2
Graduate,81361.0,18,5.099866427824199,3.1780538303479458,6.052089168924417,3.332204510175204,4.189654742026425,4.343805421853684,1,3,10,13,1,0,0,0,0,0,0,0,39,4387,26.195674101151877,27,0,0,Alone,1
Graduate,29440.0,95,2.8903717578961645,2.1972245773362196,2.70805020110221,2.3978952727983707,1.6094379124341003,1.3862943611198906,2,1,0,4,7,0,0,0,0,0,0,0,66,4585,13.189274082686955,7,0,2,Partner,4
Postgraduate,36138.0,48,4.875197323201151,0.0,2.833213344056216,0.0,0.0,1.791759469228055,5,3,1,4,7,0,1,0,0,0,0,0,56,4611,9.500170136485423,13,1,2,Partner,4
Graduate,50388.0,3,5.680172609017068,1.9459101490553132,3.6375861597263857,0.0,1.3862943611198906,3.5553480614894135,4,6,1,6,7,0,1,0,1,0,0,1,69,4295,16.205311340408073,17,2,1,Alone,2
Graduate,79593.0,70,5.860786223465865,4.110873864173311,6.343880434126331,4.709530201312334,4.897839799950911,4.983606621708336,1,5,6,7,2,0,0,1,0,0,0,0,53,4311,30.906517144737087,19,1,0,Partner,2
Graduate,54178.0,79,4.912654885736052,2.302585092994046,3.6888794541139363,1.6094379124341003,0.0,2.0794415416798357,1,2,2,5,2,0,0,0,0,0,0,0,59,4422,14.59299888695797,10,0,1,Partner,3
PhD,51381.5,4,5.442417710521793,3.7612001156935624,5.262690188904886,3.912023005428146,3.6375861597263857,3.9889840465642745,12,7,2,8,9,0,0,0,0,0,0,0,69,4850,26.004901226839046,29,0,3,Partner,5
Graduate,51381.5,45,2.0794415416798357,0.0,2.1972245773362196,1.0986122886681098,0.0,0.6931471805599453,1,1,0,2,7,0,0,0,0,0,0,0,69,4296,6.068425588244111,4,0,2,Alone,3
Postgraduate,51381.5,87,6.100318952020064,3.6375861597263857,5.886104031450156,4.59511985013459,3.367295829986474,2.9444389791664403,1,2,4,8,1,0,0,0,0,0,0,0,53,4481,26.530863802484113,15,0,0,Partner,2
Postgraduate,42394.0,69,2.772588722239781,1.0986122886681098,2.3978952727983707,0.0,0.6931471805599453,1.6094379124341003,1,1,0,3,7,0,0,0,0,0,0,0,54,4361,8.571681376700306,5,0,1,Alone,2
PhD,23626.0,84,3.332204510175204,1.0986122886681098,2.70805020110221,0.0,0.0,0.0,3,3,1,3,5,0,0,0,0,0,0,0,56,4299,7.138866999945524,10,0,1,Partner,3
Graduate,30096.0,30,1.791759469228055,1.3862943611198906,2.4849066497880004,2.5649493574615367,1.791759469228055,2.302585092994046,1,2,0,3,6,0,0,0,0,0,0,0,43,4301,12.322254399819581,6,0,1,Partner,3
Graduate,47916.0,72,6.226536669287466,0.0,3.295836866004329,0.0,0.0,4.330733340286331,5,7,4,6,6,0,1,0,0,0,0,0,66,4847,13.853106875578126,22,1,1,Alone,2
Graduate,51813.0,37,3.9512437185814275,1.0986122886681098,2.0794415416798357,0.0,0.6931471805599453,1.0986122886681098,2,2,0,3,7,0,0,0,0,0,0,0,54,4707,8.921057018157427,7,0,2,Alone,3
Undergraduate,78497.0,44,5.337538079701318,3.295836866004329,6.104793232414985,4.330733340286331,0.0,5.4116460518550396,1,5,7,12,2,0,0,0,1,0,0,0,75,4473,24.480547570262,25,1,0,Partner,2
PhD,50150.0,32,4.912654885736052,3.8501476017100584,4.532599493153256,4.189654742026425,4.127134385045092,2.4849066497880004,2,5,2,7,5,0,0,0,0,0,0,0,43,4637,24.097097757458886,16,0,0,Partner,2
Undergraduate,47823.0,0,3.9889840465642745,0.6931471805599453,1.791759469228055,1.0986122886681098,0.6931471805599453,2.3978952727983707,2,2,0,3,8,0,0,0,0,0,0,0,66,4604,10.6635454383787,7,0,1,Alone,2
PhD,34554.0,43,3.7376696182833684,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.0,1.791759469228055,2,2,0,3,6,0,0,0,0,0,0,0,67,4354,9.267098705794792,7,0,1,Alone,2
Graduate,85693.0,59,5.958424693029782,5.153291594497779,5.214935757608986,5.225746673713202,4.890349128221754,4.718498871295094,2,9,5,11,5,0,0,0,0,0,0,0,47,4698,31.1612467183666,27,0,1,Partner,3
PhD,65846.0,68,6.333279628139691,4.406719247264253,5.6240175061873385,4.394449154672439,3.713572066704308,4.406719247264253,1,6,3,6,4,0,0,0,0,0,0,0,81,4671,28.878756850232286,16,0,0,Partner,2
Graduate,87195.0,35,5.384495062789089,4.343805421853684,6.53813982376767,3.9318256327243257,3.295836866004329,3.6635616461296463,1,3,11,5,1,0,0,0,0,0,0,1,67,4315,27.157664453268747,20,0,0,Partner,2
Undergraduate,24594.0,94,0.6931471805599453,1.3862943611198906,1.9459101490553132,2.3978952727983707,0.0,2.302585092994046,1,1,0,3,5,0,0,0,0,0,0,0,47,4464,8.725832056527565,5,0,1,Partner,3
Graduate,49096.0,15,4.976733742420574,0.6931471805599453,3.4965075614664802,1.0986122886681098,0.6931471805599453,2.0794415416798357,4,4,1,4,7,0,0,0,0,0,0,0,62,4541,13.03758949535489,13,0,2,Partner,4
Graduate,52413.0,56,5.69035945432406,4.672828834461906,5.605802066295998,4.330733340286331,4.59511985013459,4.189654742026425,4,6,4,12,6,0,0,0,0,0,0,0,57,4775,29.084498287529307,26,0,2,Partner,4
Graduate,38557.0,17,4.343805421853684,1.3862943611198906,3.4657359027997265,1.6094379124341003,1.6094379124341003,3.332204510175204,2,3,1,3,7,0,0,0,0,0,0,0,48,4820,15.746916020816705,9,0,1,Alone,2
Postgraduate,89058.0,18,6.12029741895095,5.272999558563747,4.672828834461906,3.4657359027997265,3.1354942159291497,3.784189633918261,1,5,4,4,2,0,0,0,0,0,0,0,66,4832,26.45154556462374,14,0,0,Partner,2
Graduate,77298.0,46,6.054439346269371,4.7535901911063645,5.680172609017068,3.1780538303479458,3.58351893845611,4.382026634673881,1,6,6,11,3,0,0,0,0,0,0,0,47,4502,27.631801549870737,24,0,1,Partner,3
PhD,68126.0,40,7.195187320178709,2.8903717578961645,5.7430031878094825,3.1780538303479458,3.9512437185814275,4.465908118654584,1,7,4,5,9,0,1,0,0,0,0,1,35,4859,27.423767933468312,17,1,0,Alone,1
Postgraduate,57288.0,27,6.269096283706261,0.0,3.091042453358316,0.0,0.0,4.110873864173311,3,8,1,8,6,0,1,0,0,0,0,0,63,4267,13.471012601237888,20,1,1,Partner,3
Graduate,86037.0,95,6.19644412779452,3.8066624897703196,4.836281906951478,3.4011973816621555,3.044522437723423,3.1354942159291497,1,6,7,11,3,0,1,1,0,0,0,1,35,4806,24.420602559831043,25,2,0,Alone,1
PhD,43974.0,19,5.937536205082426,0.0,4.624972813284271,0.0,0.0,4.290459441148391,5,6,4,6,7,0,0,0,0,0,0,0,46,4827,14.852968459515088,21,0,1,Partner,3
Graduate,50785.0,27,4.174387269895637,0.6931471805599453,3.091042453358316,0.0,0.6931471805599453,3.332204510175204,2,2,1,3,6,0,0,0,0,0,0,0,64,4555,11.983928594549047,8,0,2,Alone,3
Graduate,90765.0,25,6.306275286948016,4.605170185988092,6.70073110954781,5.0238805208462765,4.418840607796598,3.5263605246161616,0,4,6,5,1,0,0,1,1,0,0,0,56,4419,30.581258235742954,15,2,0,Partner,2
Undergraduate,36550.0,74,3.871201010907891,4.51085950651685,4.553876891600541,4.820281565605037,4.6443908991413725,4.795790545596741,5,9,1,5,9,0,0,0,0,0,0,0,48,4758,27.196400419368434,20,0,1,Partner,3
Undergraduate,30753.0,85,2.5649493574615367,1.791759469228055,3.258096538021482,0.0,2.302585092994046,3.4339872044851463,2,1,1,3,5,0,0,0,0,0,0,0,59,4616,13.351377662190266,7,0,2,Partner,4
Graduate,21918.0,37,0.6931471805599453,1.9459101490553132,2.0794415416798357,2.4849066497880004,1.791759469228055,1.3862943611198906,2,2,0,3,6,0,0,0,0,0,0,0,57,4490,10.38145935143104,7,0,1,Partner,3
Postgraduate,56129.0,65,5.771441123130016,3.8918202981106265,4.897839799950911,3.6888794541139363,4.290459441148391,3.8918202981106265,4,6,2,10,4,0,0,0,0,0,0,0,73,4637,26.432260414564507,22,0,1,Partner,3
Postgraduate,32557.0,13,3.5553480614894135,1.3862943611198906,3.4011973816621555,0.0,1.6094379124341003,2.3978952727983707,3,2,1,3,5,0,0,0,0,0,0,1,59,4388,12.35017298950393,9,0,1,Alone,2
Postgraduate,19510.0,63,2.302585092994046,0.0,2.0794415416798357,1.3862943611198906,1.6094379124341003,2.0794415416798357,2,1,0,3,7,0,0,0,0,0,0,0,41,4561,9.457200449907708,6,0,2,Partner,4
